date,country,location,entity,value
2020-03-29,GB,Cheshire East,parks,-0.63
2020-03-29,GB,Cheshire East,transit,-0.75
2020-03-29,GB,Cheshire East,workplace,-0.53
2020-03-29,GB,Cheshire East,residential,0.15
2020-03-29,GB,Cheshire West and Chester,retail_recr,-0.88
2020-03-29,GB,Cheshire West and Chester,grocery_pharm,-0.47
2020-03-29,GB,Cheshire West and Chester,parks,-0.58
2020-03-29,GB,Cheshire West and Chester,transit,-0.77
2020-03-29,GB,Cheshire West and Chester,workplace,-0.55
2020-03-29,GB,Cheshire West and Chester,residential,0.15
2020-03-29,GB,City of Bristol,retail_recr,-0.87
2020-03-29,GB,City of Bristol,grocery_pharm,-0.47
2020-03-29,GB,City of Bristol,parks,-0.25
2020-03-29,GB,City of Bristol,transit,-0.81
2020-03-29,GB,City of Bristol,workplace,-0.57
2020-03-29,GB,City of Bristol,residential,0.18
2020-03-29,GB,Clackmannanshire,retail_recr,-0.89
2020-03-29,GB,Clackmannanshire,grocery_pharm,-0.39
2020-03-29,GB,Clackmannanshire,parks,NA
2020-03-29,GB,Clackmannanshire,transit,-0.53
2020-03-29,GB,Clackmannanshire,workplace,-0.49
2020-03-29,GB,Clackmannanshire,residential,0.06
2020-03-29,GB,Conwy Principal Area,retail_recr,-0.86
2020-03-29,GB,Conwy Principal Area,grocery_pharm,-0.48
2020-03-29,GB,Conwy Principal Area,parks,-0.7
2020-03-29,GB,Conwy Principal Area,transit,-0.63
2020-03-29,GB,Conwy Principal Area,workplace,-0.58
2020-03-29,GB,Conwy Principal Area,residential,0.22
2020-03-29,GB,Cornwall,retail_recr,-0.85
2020-03-29,GB,Cornwall,grocery_pharm,-0.53
2020-03-29,GB,Cornwall,parks,-0.54
2020-03-29,GB,Cornwall,transit,-0.66
2020-03-29,GB,Cornwall,workplace,-0.56
2020-03-29,GB,Cornwall,residential,0.14
2020-03-29,GB,County Durham,retail_recr,-0.83
2020-03-29,GB,County Durham,grocery_pharm,-0.42
2020-03-29,GB,County Durham,parks,-0.56
2020-03-29,GB,County Durham,transit,-0.68
2020-03-29,GB,County Durham,workplace,-0.55
2020-03-29,GB,County Durham,residential,0.14
2020-03-29,GB,Cumbria,retail_recr,-0.84
2020-03-29,GB,Cumbria,grocery_pharm,-0.5
2020-03-29,GB,Cumbria,parks,-0.54
2020-03-29,GB,Cumbria,transit,-0.73
2020-03-29,GB,Cumbria,workplace,-0.58
2020-03-29,GB,Cumbria,residential,0.15
2020-03-29,GB,Darlington,retail_recr,-0.86
